buySell,clientName,date,name,qty,remarks,symbol,watp
BUY,BNP PARIBAS FINANCIAL MARKETS,25-Jun-2026,Bansal Wire Industries L,970874,,BANSALWIRE,309
BUY,MALABAR INDIA FUND LIMITED,25-Jun-2026,Bansal Wire Industries L,809062,,BANSALWIRE,309
BUY,HDFC MUTUAL FUND,25-Jun-2026,Bansal Wire Industries L,809063,,BANSALWIRE,309
BUY,INVESCO MUTUAL FUND,25-Jun-2026,Bansal Wire Industries L,2093917,,BANSALWIRE,309
BUY,AXIS MUTUAL FUND,25-Jun-2026,Emcure Pharmaceuticals L,137590,,EMCURE,1817
BUY,GOLDMAN SACHS INVESTMENTS MAURITIUS I LIMITED,25-Jun-2026,Emcure Pharmaceuticals L,137590,,EMCURE,1817
BUY,HDFC STANDARD LIFE INSURNACE,25-Jun-2026,Emcure Pharmaceuticals L,157949,,EMCURE,1817
BUY,HSBC MUTUAL FUND,25-Jun-2026,Emcure Pharmaceuticals L,137590,,EMCURE,1817
BUY,MORGAN STANLEY ASIA SINGAPORE PTE,25-Jun-2026,Emcure Pharmaceuticals L,137590,,EMCURE,1817
BUY,ADITYA BIRLA SUN LIFE MUTUAL FUND,25-Jun-2026,Emcure Pharmaceuticals L,261420,,EMCURE,1817
BUY,HDFC STANDARD LIFE INSURANCE COMPANY LTD,25-Jun-2026,Emcure Pharmaceuticals L,556954,,EMCURE,1817
BUY,BNP PARIBAS FINANCIAL MARKETS,25-Jun-2026,Emcure Pharmaceuticals L,137592,,EMCURE,1817
BUY,ALPHA ALTERNATIVES EQUITY ABSOLUTE RETURN FUND,25-Jun-2026,Emcure Pharmaceuticals L,137593,,EMCURE,1817
BUY,AXIS MUTUAL FUND,25-Jun-2026,Emcure Pharmaceuticals L,137591,,EMCURE,1817
BUY,FIDELITY  INVESTMENT TRUST FIDELITY INTERNATIONAL CAPITAL APPRECIATION K6 FD,25-Jun-2026,Lodha Developers Limited,1710100,,LODHA,937.85
BUY,VIP INTL CAP APP PORT,25-Jun-2026,Lodha Developers Limited,720200,,LODHA,937.85
BUY,SUNAMERICA SERIES TRUST SA FIDELITY INSTITUTIONAL AM INTL GROWTH PORTFOLIO,25-Jun-2026,Lodha Developers Limited,178300,,LODHA,937.85
BUY,FIDELITY INSTITUTIONAL AM INTERNATIONAL CORE CIT,25-Jun-2026,Lodha Developers Limited,894596,,LODHA,937.85
BUY,FIDELITY RUTLAND SQUARE TRUST II:,25-Jun-2026,Lodha Developers Limited,100800,,LODHA,937.85
BUY,FMRC FIDELITY ADVISOR INTERNATIONAL CAPITAL APPRECIATION FUND,25-Jun-2026,Lodha Developers Limited,13264600,,LODHA,937.85
BUY,FRST II STRAT ADV FIDE INTERL FUND,25-Jun-2026,Lodha Developers Limited,2857100,,LODHA,937.85
BUY,FIAM INTERNATIONAL CAPITAL APPRECIATION COMMINGLED POOL,25-Jun-2026,Lodha Developers Limited,155600,,LODHA,937.85
SELL,MRINAAL MITTAL,25-Jun-2026,Bansal Wire Industries L,4682916,,BANSALWIRE,309
SELL,BC INVESTMENTS IV LIMITED,25-Jun-2026,Emcure Pharmaceuticals L,969729,,EMCURE,1817
SELL,BC INVESTMENTS IV LIMITED,25-Jun-2026,Emcure Pharmaceuticals L,969730,,EMCURE,1817
SELL,HIGHTOWN CONSTRUCTIONS PRIVATE LIMITED,25-Jun-2026,Lodha Developers Limited,17424032,,LODHA,937.85
SELL,HOMECRAFT DEVELOPERS AND FARMS PRIVATE LIMITED,25-Jun-2026,Lodha Developers Limited,2457264,,LODHA,937.85
